inflowRate,consumptionRate,mean_ratio_life_off,mean_avg_delta_off,mean_avg_delta_life,mean_avg_heatDiff_life,mean_avg_heatAct_life,mean_avg_agents_life,mean_avg_agents_random,sd_ratio_life_off,sd_avg_delta_life,sd_avg_agents_life,ci95_ratio_life_off_halfwidth,ci95_avg_delta_life_halfwidth,nSeeds,nSuppressor,nAccelerator,nDead,nInvalid,majority_status
2,0.3,1.288219038510479,4.488989556580777,5.78280181046207,2.3061355417555167,3.4766662687065155,11.5625,30,0,0,0,0,0,1,0,1,0,0,accelerator
4,0.3,1.2235351539424497,5.700066242671013,6.974231427708638,3.0742314277086407,3.9000000000000212,13,30,0,0,0,0,0,1,0,1,0,0,accelerator
6,0.3,1.2768842948868753,6.911142544286703,8.824729374524212,3.724729374524207,5.099999999999962,17,30,0,0,0,0,0,1,0,1,0,0,accelerator
8,0.3,1.2149774689770843,8.122217605056614,9.868311388272799,4.768311388272791,5.099999999999962,17,30,0,0,0,0,0,1,0,1,0,0,accelerator
10,0.3,1.3717655977295566,9.333295248389994,12.80309333519413,4.10309333519414,8.699999999999944,29,30,0,0,0,0,0,1,0,1,0,0,accelerator
2,0.85,0.448550452353556,4.488989556580777,2.0135382962146964,0.11645678164269775,1.8970815145719973,3.8,30,0,0,0,0,0,1,1,0,0,0,suppressor
4,0.85,0.6999087505880689,5.700066242671013,3.9895262421770967,0.1904892534865998,3.7990369886904953,7.7625,30,0,0,0,0,0,1,1,0,0,0,suppressor
6,0.85,0.8548594770120914,6.911142544286703,5.908055700964946,0.23430570096494627,5.67375,11.3475,30,0,0,0,0,0,1,1,0,0,0,suppressor
8,0.85,0.9681762521185435,8.122217605056614,7.863738199754965,0.2914572256935758,7.572280974061386,15.1775,30,0,0,0,0,0,1,1,0,0,0,suppressor
10,0.85,1.0548410365019016,9.333295248389994,9.845142833789975,0.37116634780466545,9.473976485985318,19.035,30,0,0,0,0,0,1,0,1,0,0,accelerator
2,1.4,0.4496915458391386,4.488989556580777,2.018660652954559,0.11766065295543521,1.9009999999991203,3.835,30,0,0,0,0,0,1,1,0,0,0,suppressor
4,1.4,0.6955312040452332,5.700066242671013,3.9645739369025574,0.17290024602147724,3.7916736908810873,7.6625,30,0,0,0,0,0,1,1,0,0,0,suppressor
6,1.4,0.8578463622327758,6.911142544286703,5.928698490488518,0.24475694371312834,5.683941546775393,11.495,30,0,0,0,0,0,1,1,0,0,0,suppressor
8,1.4,0.96736180188009,8.122217605056614,7.857123057689755,0.28012305768975077,7.5770000000000115,15.32,30,0,0,0,0,0,1,1,0,0,0,suppressor
10,1.4,1.053206388769943,9.333295248389994,9.829886183880495,0.36218214897909207,9.467704034901416,19.1625,30,0,0,0,0,0,1,0,1,0,0,accelerator
2,1.95,0.4514159718740648,4.488989556580777,2.0264015834164386,0.1291135154451244,1.897288067971314,3.8525,30,0,0,0,0,0,1,1,0,0,0,suppressor
4,1.95,0.6991588116832534,5.700066242671013,3.9852515407416926,0.19295359872365345,3.7922979420180445,7.685,30,0,0,0,0,0,1,1,0,0,0,suppressor
6,1.95,0.8563629848511828,6.911142544286703,5.918446657957358,0.23253411051002326,5.685912547447345,11.5825,30,0,0,0,0,0,1,1,0,0,0,suppressor
8,1.95,0.9707233427226856,8.122217605056614,7.884426223901602,0.31062090921979396,7.573805314681822,15.31,30,0,0,0,0,0,1,1,0,0,0,suppressor
10,1.95,1.0540340221791518,9.333295248389994,9.837610730846071,0.36403617967357876,9.47357455117251,19.1725,30,0,0,0,0,0,1,0,1,0,0,accelerator
2,2.5,0.44561749485097224,4.488989556580777,2.0003722806157027,0.10126479908805333,1.8991074815276494,3.8575,30,0,0,0,0,0,1,1,0,0,0,suppressor
4,2.5,0.6967226246129132,5.700066242671013,3.9713651130612146,0.17868503028079874,3.792680082780416,7.615,30,0,0,0,0,0,1,1,0,0,0,suppressor
6,2.5,0.8574459320673603,6.911142544286703,5.9259310605363,0.24093106053629904,5.685,11.3725,30,0,0,0,0,0,1,1,0,0,0,suppressor
8,2.5,0.9701052560486658,8.122217605056614,7.879405989436427,0.30089559891633716,7.578510390520109,15.2775,30,0,0,0,0,0,1,1,0,0,0,suppressor
10,2.5,1.053954666422669,9.333295248389994,9.836870080141159,0.3641792211528867,9.472690858988276,18.9725,30,0,0,0,0,0,1,0,1,0,0,accelerator
